1603489320879,0.0
1603489321859,-0.0
1603489322845,-0.0
1603489323827,-0.0
1603489324828,0.0
1603489325808,0.01
1603489326790,0.02
1603489327768,0.02
1603489328754,0.09
1603489329738,0.19
1603489330725,0.17
1603489331707,0.16
1603489332709,0.16
1603489333692,0.17
1603489334676,0.16
1603489335656,0.15
1603489336636,0.16
1603489337617,0.17
1603489338604,0.18
1603489339603,0.17
1603489340589,0.18
1603489341568,0.18
1603489342550,0.14
1603489343530,0.12
1603489344515,0.12
1603489345497,0.13
1603489346498,0.17
1603489347478,0.18
1603489348460,0.2
1603489349439,0.2
