energy(t-2),protocol(t-2),packet(t-2),unique_sour(t-2),unique_dest(t-2),median_len(t-2),mean_len(t-2),max_len(t-2),min_len(t-2),energy(t-1),protocol(t-1),packet(t-1),unique_sour(t-1),unique_dest(t-1),median_len(t-1),mean_len(t-1),max_len(t-1),min_len(t-1),energy(t),protocol(t),packet(t),unique_sour(t),unique_dest(t),median_len(t),mean_len(t),max_len(t),min_len(t),device
0.16,[],0.0,0.0,0.0,51.0,51.0,60.0,42.0,0.17,"['TLSv1.2', 'TCP', 'TLSv1.2', 'TCP', 'TLSv1.2', 'TCP', 'DNS', 'DNS']",8.0,3.0,3.0,86.0,143.375,514.0,66.0,0.18,"['DNS', 'DNS']",2.0,2.0,2.0,78.0,78.0,86.0,70.0,1
0.17,"['TLSv1.2', 'TCP', 'TLSv1.2', 'TCP', 'TLSv1.2', 'TCP', 'DNS', 'DNS']",8.0,3.0,3.0,86.0,143.375,514.0,66.0,0.18,"['DNS', 'DNS']",2.0,2.0,2.0,78.0,78.0,86.0,70.0,0.17,[],0.0,0.0,0.0,78.0,78.0,86.0,70.0,1
0.18,"['DNS', 'DNS']",2.0,2.0,2.0,78.0,78.0,86.0,70.0,0.17,[],0.0,0.0,0.0,78.0,78.0,86.0,70.0,0.18,"['DNS', 'DNS']",2.0,2.0,2.0,86.0,86.0,94.0,78.0,1
0.17,[],0.0,0.0,0.0,78.0,78.0,86.0,70.0,0.18,"['DNS', 'DNS']",2.0,2.0,2.0,86.0,86.0,94.0,78.0,0.18,[],0.0,0.0,0.0,86.0,86.0,94.0,78.0,1
0.18,"['DNS', 'DNS']",2.0,2.0,2.0,86.0,86.0,94.0,78.0,0.18,[],0.0,0.0,0.0,86.0,86.0,94.0,78.0,0.14,['ICMPv6'],1.0,1.0,1.0,110.0,110.0,110.0,110.0,1
0.18,[],0.0,0.0,0.0,86.0,86.0,94.0,78.0,0.14,['ICMPv6'],1.0,1.0,1.0,110.0,110.0,110.0,110.0,0.12,[],0.0,0.0,0.0,110.0,110.0,110.0,110.0,1
0.14,['ICMPv6'],1.0,1.0,1.0,110.0,110.0,110.0,110.0,0.12,[],0.0,0.0,0.0,110.0,110.0,110.0,110.0,0.12,[],0.0,0.0,0.0,110.0,110.0,110.0,110.0,1
0.12,[],0.0,0.0,0.0,110.0,110.0,110.0,110.0,0.12,[],0.0,0.0,0.0,110.0,110.0,110.0,110.0,0.13,"['DNS', 'DNS', 'DNS', 'DNS', 'DNS', 'DNS', 'DNS', 'DNS', 'DNS', 'DNS', 'NTP', 'NTP', 'TLSv1.2', 'TCP', 'TLSv1.2', 'TCP', 'TCP', 'TCP', 'TCP', 'TCP']",20.0,4.0,4.0,76.0,84.5,131.0,60.0,1
0.12,[],0.0,0.0,0.0,110.0,110.0,110.0,110.0,0.13,"['DNS', 'DNS', 'DNS', 'DNS', 'DNS', 'DNS', 'DNS', 'DNS', 'DNS', 'DNS', 'NTP', 'NTP', 'TLSv1.2', 'TCP', 'TLSv1.2', 'TCP', 'TCP', 'TCP', 'TCP', 'TCP']",20.0,4.0,4.0,76.0,84.5,131.0,60.0,0.17,['ICMPv6'],1.0,1.0,1.0,110.0,110.0,110.0,110.0,1
0.13,"['DNS', 'DNS', 'DNS', 'DNS', 'DNS', 'DNS', 'DNS', 'DNS', 'DNS', 'DNS', 'NTP', 'NTP', 'TLSv1.2', 'TCP', 'TLSv1.2', 'TCP', 'TCP', 'TCP', 'TCP', 'TCP']",20.0,4.0,4.0,76.0,84.5,131.0,60.0,0.17,['ICMPv6'],1.0,1.0,1.0,110.0,110.0,110.0,110.0,0.18,['DNS'],1.0,1.0,1.0,85.0,85.0,85.0,85.0,1
0.17,['ICMPv6'],1.0,1.0,1.0,110.0,110.0,110.0,110.0,0.18,['DNS'],1.0,1.0,1.0,85.0,85.0,85.0,85.0,0.2,"['DNS', 'TCP', 'TCP', 'TCP', 'TLSv1.2', 'TCP', 'TLSv1.2', 'TCP', 'TLSv1.2', 'TCP', 'TLSv1.2', 'TLSv1.2', 'TCP', 'TLSv1.2', 'TCP', 'TLSv1.2', 'TCP', 'TLSv1.2', 'TCP']",19.0,3.0,2.0,74.0,253.31578947368422,1506.0,66.0,1
0.18,['DNS'],1.0,1.0,1.0,85.0,85.0,85.0,85.0,0.2,"['DNS', 'TCP', 'TCP', 'TCP', 'TLSv1.2', 'TCP', 'TLSv1.2', 'TCP', 'TLSv1.2', 'TCP', 'TLSv1.2', 'TLSv1.2', 'TCP', 'TLSv1.2', 'TCP', 'TLSv1.2', 'TCP', 'TLSv1.2', 'TCP']",19.0,3.0,2.0,74.0,253.31578947368422,1506.0,66.0,0.2,[],0.0,0.0,0.0,74.0,253.31578947368422,1506.0,66.0,1
0.2,"['DNS', 'TCP', 'TCP', 'TCP', 'TLSv1.2', 'TCP', 'TLSv1.2', 'TCP', 'TLSv1.2', 'TCP', 'TLSv1.2', 'TLSv1.2', 'TCP', 'TLSv1.2', 'TCP', 'TLSv1.2', 'TCP', 'TLSv1.2', 'TCP']",19.0,3.0,2.0,74.0,253.31578947368422,1506.0,66.0,0.2,[],0.0,0.0,0.0,74.0,253.31578947368422,1506.0,66.0,0.2,[],0.0,0.0,0.0,74.0,253.31578947368422,1506.0,66.0,1
