timestamp,energy,time,source,destination,protocol,length,info
1603489333692,0.17,12813,"['172.31.1.15', '8.8.8.8', '172.31.1.15', '34.232.245.151', '172.31.1.15', '172.31.1.15']","['8.8.8.8', '172.31.1.15', '34.232.245.151', '172.31.1.15', '34.232.245.151', '34.232.245.151']","['DNS', 'DNS', 'TCP', 'TCP', 'TCP', 'TLSv1.2']","[85, 226, 74, 74, 66, 248]","['Standard query 0x0009 A n-devs-gw.tplinkcloud.com', 'Standard query response 0x0009 A n-devs-gw.tplinkcloud.com CNAME n-use1-devs-gw.tplinkcloud.com A 34.232.245.151 A 3.211.135.40 A 3.218.171.123 A 34.199.32.86 A 34.226.13.90 A 3.210.29.149 A 52.45.233.103', '52648  >  443 [SYN] Seq=0 Win=14600 Len=0 MSS=1460 SACK_PERM=1 TSval=4294945723 TSecr=0 WS=64', '443  >  52648 [SYN, ACK] Seq=0 Ack=1 Win=26847 Len=0 MSS=1452 SACK_PERM=1 TSval=663827046 TSecr=4294945723 WS=256', '52648  >  443 [ACK] Seq=1 Ack=1 Win=14656 Len=0 TSval=4294945728 TSecr=663827046', 'Client Hello']"
1603489334676,0.16,13797,"['34.232.245.151', '34.232.245.151', '34.232.245.151', '172.31.1.15', '172.31.1.15', '172.31.1.15', '34.232.245.151', '172.31.1.15']","['172.31.1.15', '172.31.1.15', '172.31.1.15', '34.232.245.151', '34.232.245.151', '34.232.245.151', '172.31.1.15', '34.232.245.151']","['TCP', 'TLSv1.2', 'TLSv1.2', 'TCP', 'TCP', 'TLSv1.2', 'TLSv1.2', 'TCP']","[66, 1506, 879, 66, 66, 384, 117, 66]","['443  >  52648 [ACK] Seq=1 Ack=183 Win=28160 Len=0 TSval=663827093 TSecr=4294945728', 'Server Hello', 'Certificate, Server Hello Done', '52648  >  443 [ACK] Seq=183 Ack=1441 Win=17536 Len=0 TSval=4294945733 TSecr=663827093', '52648  >  443 [ACK] Seq=183 Ack=2254 Win=20416 Len=0 TSval=4294945733 TSecr=663827094', 'Client Key Exchange, Change Cipher Spec, Encrypted Handshake Message', 'Change Cipher Spec, Encrypted Handshake Message', '52648  >  443 [ACK] Seq=501 Ack=2305 Win=20416 Len=0 TSval=4294945743 TSecr=663827154']"
1603489335656,0.15,14777,"['PcsCompu_73:1d:1d', 'Tp-LinkT_81:9e:53']","['Tp-LinkT_81:9e:53', 'PcsCompu_73:1d:1d']","['ARP', 'ARP']","[42, 60]","['Who has 172.31.1.15? Tell 172.31.1.1', '172.31.1.15 is at d8:07:b6:81:9e:53']"
1603489336636,0.16,15757,[],[],[],[],[]
1603489337617,0.17,16738,"['172.31.1.15', '34.232.245.151', '172.31.1.15', '34.232.245.151', '34.232.245.151', '172.31.1.15', '172.31.1.15', '8.8.8.8']","['34.232.245.151', '172.31.1.15', '34.232.245.151', '172.31.1.15', '172.31.1.15', '34.232.245.151', '8.8.8.8', '172.31.1.15']","['TLSv1.2', 'TCP', 'TLSv1.2', 'TCP', 'TLSv1.2', 'TCP', 'DNS', 'DNS']","[99, 66, 514, 66, 164, 66, 78, 94]","['Application Data', '443  >  52648 [ACK] Seq=2305 Ack=534 Win=29184 Len=0 TSval=663830507 TSecr=4294946065', 'Application Data', '443  >  52648 [ACK] Seq=2305 Ack=982 Win=30208 Len=0 TSval=663830553 TSecr=4294946074', 'Application Data', '52648  >  443 [ACK] Seq=982 Ack=2403 Win=20416 Len=0 TSval=4294946079 TSecr=663830555', 'Standard query 0x0002 A a.root-servers.net', 'Standard query response 0x0002 A a.root-servers.net A 198.41.0.4']"
1603489338604,0.18,17725,"['172.31.1.15', '8.8.8.8']","['8.8.8.8', '172.31.1.15']","['DNS', 'DNS']","[70, 86]","['Standard query 0x571e A google.com', 'Standard query response 0x571e A google.com A 172.217.164.206']"
1603489339603,0.17,18724,[],[],[],[],[]
1603489340589,0.18,19710,"['172.31.1.15', '8.8.8.8']","['8.8.8.8', '172.31.1.15']","['DNS', 'DNS']","[78, 94]","['Standard query 0x0002 A a.root-servers.net', 'Standard query response 0x0002 A a.root-servers.net A 198.41.0.4']"
1603489341568,0.18,20689,[],[],[],[],[]
1603489342550,0.14,21671,['fe80::da07:b6ff:fe81:9e53'],['ff02::16'],['ICMPv6'],[110],['Multicast Listener Report Message v2']
1603489343530,0.12,22651,[],[],[],[],[]
1603489344515,0.12,23636,[],[],[],[],[]
1603489345497,0.13,24618,"['172.31.1.15', '8.8.8.8', '172.31.1.15', '8.8.8.8', '172.31.1.15', '8.8.8.8', '172.31.1.15', '8.8.8.8', '172.31.1.15', '8.8.8.8', '172.31.1.15', '129.6.15.27', '172.31.1.15', '172.31.1.15', '34.232.245.151', '34.232.245.151', '34.232.245.151', '172.31.1.15', '172.31.1.15', '172.31.1.15']","['8.8.8.8', '172.31.1.15', '8.8.8.8', '172.31.1.15', '8.8.8.8', '172.31.1.15', '8.8.8.8', '172.31.1.15', '8.8.8.8', '172.31.1.15', '129.6.15.27', '172.31.1.15', '34.232.245.151', '34.232.245.151', '172.31.1.15', '172.31.1.15', '172.31.1.15', '34.232.245.151', '34.232.245.151', '34.232.245.151']","['DNS', 'DNS', 'DNS', 'DNS', 'DNS', 'DNS', 'DNS', 'DNS', 'DNS', 'DNS', 'NTP', 'NTP', 'TLSv1.2', 'TCP', 'TLSv1.2', 'TCP', 'TCP', 'TCP', 'TCP', 'TCP']","[73, 112, 76, 92, 76, 131, 75, 114, 75, 114, 90, 90, 97, 66, 97, 66, 66, 60, 60, 60]","['Standard query 0x0002 A time.nist.gov', 'Standard query response 0x0002 A time.nist.gov CNAME ntp1.glb.nist.gov A 129.6.15.27', 'Standard query 0x0003 A time-nw.nist.gov', 'Standard query response 0x0003 A time-nw.nist.gov A 131.107.13.100', 'Standard query 0x0004 A time.windows.com', 'Standard query response 0x0004 A time.windows.com CNAME time.microsoft.akadns.net A 13.86.101.172', 'Standard query 0x0005 A time-a.nist.gov', 'Standard query response 0x0005 A time-a.nist.gov CNAME time-a-g.nist.gov A 129.6.15.28', 'Standard query 0x0006 A time-b.nist.gov', 'Standard query response 0x0006 A time-b.nist.gov CNAME time-b-g.nist.gov A 129.6.15.29', 'NTP Version 3, client', 'NTP Version 3, server', 'Encrypted Alert', '52648  >  443 [FIN, ACK] Seq=1013 Ack=2403 Win=20416 Len=0 TSval=4294946908 TSecr=663830555', 'Encrypted Alert', '443  >  52648 [FIN, ACK] Seq=2434 Ack=1013 Win=30208 Len=0 TSval=663838890 TSecr=4294946908', '443  >  52648 [ACK] Seq=2435 Ack=1014 Win=30208 Len=0 TSval=663838890 TSecr=4294946908', '52648  >  443 [RST] Seq=1013 Win=0 Len=0', '52648  >  443 [RST] Seq=1013 Win=0 Len=0', '52648  >  443 [RST] Seq=1014 Win=0 Len=0']"
1603489346498,0.17,25619,['fe80::da07:b6ff:fe81:9e53'],['ff02::16'],['ICMPv6'],[110],['Multicast Listener Report Message v2']
1603489347478,0.18,26599,['172.31.1.15'],['8.8.8.8'],['DNS'],[85],['Standard query 0x000a A n-devs-gw.tplinkcloud.com']
1603489348460,0.2,27581,"['8.8.8.8', '172.31.1.15', '34.232.245.151', '172.31.1.15', '172.31.1.15', '34.232.245.151', '34.232.245.151', '172.31.1.15', '34.232.245.151', '172.31.1.15', '172.31.1.15', '34.232.245.151', '172.31.1.15', '172.31.1.15', '34.232.245.151', '172.31.1.15', '34.232.245.151', '34.232.245.151', '172.31.1.15']","['172.31.1.15', '34.232.245.151', '172.31.1.15', '34.232.245.151', '34.232.245.151', '172.31.1.15', '172.31.1.15', '34.232.245.151', '172.31.1.15', '34.232.245.151', '34.232.245.151', '172.31.1.15', '34.232.245.151', '34.232.245.151', '172.31.1.15', '34.232.245.151', '172.31.1.15', '172.31.1.15', '34.232.245.151']","['DNS', 'TCP', 'TCP', 'TCP', 'TLSv1.2', 'TCP', 'TLSv1.2', 'TCP', 'TLSv1.2', 'TCP', 'TLSv1.2', 'TLSv1.2', 'TCP', 'TLSv1.2', 'TCP', 'TLSv1.2', 'TCP', 'TLSv1.2', 'TCP']","[226, 74, 74, 66, 248, 66, 1506, 66, 879, 66, 384, 117, 66, 99, 66, 514, 66, 164, 66]","['Standard query response 0x000a A n-devs-gw.tplinkcloud.com CNAME n-use1-devs-gw.tplinkcloud.com A 3.210.29.149 A 34.226.13.90 A 52.45.233.103 A 34.232.245.151 A 34.199.32.86 A 3.218.171.123 A 3.211.135.40', '52649  >  443 [SYN] Seq=0 Win=14600 Len=0 MSS=1460 SACK_PERM=1 TSval=4294947111 TSecr=0 WS=64', '443  >  52649 [SYN, ACK] Seq=0 Ack=1 Win=26847 Len=0 MSS=1452 SACK_PERM=1 TSval=663840920 TSecr=4294947111 WS=256', '52649  >  443 [ACK] Seq=1 Ack=1 Win=14656 Len=0 TSval=4294947115 TSecr=663840920', 'Client Hello', '443  >  52649 [ACK] Seq=1 Ack=183 Win=28160 Len=0 TSval=663840987 TSecr=4294947118', 'Server Hello', '52649  >  443 [ACK] Seq=183 Ack=1441 Win=17536 Len=0 TSval=4294947122 TSecr=663840987', 'Certificate, Server Hello Done', '52649  >  443 [ACK] Seq=183 Ack=2254 Win=20416 Len=0 TSval=4294947122 TSecr=663840987', 'Client Key Exchange, Change Cipher Spec, Encrypted Handshake Message', 'Change Cipher Spec, Encrypted Handshake Message', '52649  >  443 [ACK] Seq=501 Ack=2305 Win=20416 Len=0 TSval=4294947132 TSecr=663841046', 'Application Data', '443  >  52649 [ACK] Seq=2305 Ack=534 Win=29184 Len=0 TSval=663841675 TSecr=4294947182', 'Application Data', '443  >  52649 [ACK] Seq=2305 Ack=982 Win=30208 Len=0 TSval=663841722 TSecr=4294947191', 'Application Data', '52649  >  443 [ACK] Seq=982 Ack=2403 Win=20416 Len=0 TSval=4294947196 TSecr=663841723']"
